Filename,Upper left,Lower left,Upper right,Lower right,Center
4b3d6a96-15c6-46f1-8200-2f9c9a7a5fc3_left.tif,"-111.9750534,33.0745881","-111.9750534,33.0745781","-111.9750445,33.0745881","-111.9750445,33.0745781","-111.9750489,33.0745831"
e12dffde-ccf2-45e7-8237-0aa387c1a6dc_left.tif,"-111.9750480,33.0745881","-111.9750480,33.0745780","-111.9750392,33.0745881","-111.9750392,33.0745780","-111.9750436,33.0745830"
747ae8bc-3ac6-4ca2-9abe-5a913a98f5a1_left.tif,"-111.9750425,33.0745881","-111.9750425,33.0745780","-111.9750336,33.0745881","-111.9750336,33.0745780","-111.9750380,33.0745830"
486fd281-2595-4e06-9117-ded4065bf7ff_left.tif,"-111.9750371,33.0745881","-111.9750371,33.0745780","-111.9750283,33.0745881","-111.9750283,33.0745780","-111.9750327,33.0745830"
b4feab7b-12e4-4acc-8cb1-872881451140_left.tif,"-111.9750318,33.0745881","-111.9750318,33.0745780","-111.9750229,33.0745881","-111.9750229,33.0745780","-111.9750273,33.0745830"
b0b02989-09d6-4d80-b91f-49be544236dd_left.tif,"-111.9750263,33.0745881","-111.9750263,33.0745780","-111.9750175,33.0745881","-111.9750175,33.0745780","-111.9750219,33.0745830"
3c80588a-3d3d-47f5-9691-58d5920e7fcc_left.tif,"-111.9750207,33.0745881","-111.9750207,33.0745780","-111.9750119,33.0745881","-111.9750119,33.0745780","-111.9750163,33.0745830"
0c82a4e6-3b72-46b6-a2e4-cfc9427d56b0_left.tif,"-111.9750150,33.0745883","-111.9750150,33.0745782","-111.9750062,33.0745883","-111.9750062,33.0745782","-111.9750106,33.0745833"
defadf4a-316e-4823-9842-a6233048aeb6_left.tif,"-111.9750094,33.0745883","-111.9750094,33.0745782","-111.9750006,33.0745883","-111.9750006,33.0745782","-111.9750050,33.0745833"
62f9c111-1e03-4cdf-b82d-2c1afaed1f96_left.tif,"-111.9750039,33.0745883","-111.9750039,33.0745782","-111.9749951,33.0745883","-111.9749951,33.0745782","-111.9749995,33.0745833"
2c348fa8-0a9a-4a00-bd62-f214237fc10c_left.tif,"-111.9749984,33.0745883","-111.9749984,33.0745782","-111.9749896,33.0745883","-111.9749896,33.0745782","-111.9749940,33.0745833"
ba6f2e54-7dd0-4728-b2b2-05c622d67533_left.tif,"-111.9749921,33.0745885","-111.9749921,33.0745784","-111.9749832,33.0745885","-111.9749832,33.0745784","-111.9749877,33.0745835"
cc82141e-7a39-4d17-bb6b-9e5e43ee7eb2_left.tif,"-111.9749877,33.0745885","-111.9749877,33.0745785","-111.9749789,33.0745885","-111.9749789,33.0745785","-111.9749833,33.0745835"
